Sample	depth	layer	OceanRegion	Latitude	Longitude	OceanRegion_Layer
MalaVP_DNA_D518_3300m	3300	BAT	SAO	-25.868	-27.567	SAO_BAT
MalaVP_DNA_D520_2400m	2400	BAT	SAO	-25.868	-27.567	SAO_BAT
MalaVP_DNA_D522_850m	850	MES	SAO	-25.868	-27.567	SAO_MES
MalaVP_DNA_D524_550m	550	MES	SAO	-25.868	-27.567	SAO_MES
MalaVP_DNA_D526_130m	130	DCM	SAO	-25.868	-27.567	SAO_DCM
MalaVP_DNA_D66_3m	3	SRF	NAO	23.274	-22.222	NAO_SRF
MalaVP_DNA_D670_3m	3	SRF	SAO	-30.882	0.968	SAO_SRF
MalaVP_DNA_D672_4000m	4000	BAT	SAO	-30.882	0.968	SAO_BAT
MalaVP_DNA_D674_3080m	3080	BAT	SAO	-30.882	0.968	SAO_BAT
MalaVP_DNA_D676_1290m	1290	BAT	SAO	-30.882	0.968	SAO_BAT
MalaVP_DNA_D678_800m	800	MES	SAO	-30.882	0.968	SAO_MES
MalaVP_DNA_D680_540m	540	MES	SAO	-30.882	0.968	SAO_MES
MalaVP_DNA_D682_110m	110	DCM	SAO	-30.882	0.968	SAO_DCM
MalaVP_DNA_D76_700m	700	MES	NAO	23.274	-22.222	NAO_MES
MalaVP_DNA_D78_430m	430	MES	NAO	23.274	-22.222	NAO_MES
MalaVP_DNA_D80_88m	88	DCM	NAO	23.274	-22.222	NAO_DCM
MalaVP_DNA_D862_3m	3	SRF	IO	-33.907	37.042	IO_SRF
MalaVP_DNA_D864_4000m	4000	BAT	IO	-33.907	37.042	IO_BAT
MalaVP_DNA_D866_3000m	3000	BAT	IO	-33.907	37.042	IO_BAT
MalaVP_DNA_D868_1200m	1200	BAT	IO	-33.907	37.042	IO_BAT
MalaVP_DNA_D870_800m	800	MES	IO	-33.907	37.042	IO_MES
MalaVP_DNA_D872_450m	450	MES	IO	-33.907	37.042	IO_MES
MalaVP_DNA_D874_86m	86	DCM	IO	-33.907	37.042	IO_DCM
MalaVP_DNA_D999_3m	3	SRF	IO	-29.354	69.4	IO_SRF
