"PhylumDivision"	"ID"	"Kingdom"	"color"
"Alphaproteobacteria"	"Prok_ASV_1095"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1004"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1003"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_767"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_6729"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_52"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_980"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_101"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4087"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5109"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2813"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_897"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1109"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_138"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2827"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3782"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3119"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4042"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_902"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_528"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1514"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2465"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2937"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1892"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_91"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3233"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_573"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1184"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_21"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3814"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3499"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1530"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_873"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_6114"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3723"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_10662"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1348"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1479"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_538"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1200"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3852"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1420"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_6035"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_845"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_8017"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1364"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1495"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5431"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_544"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2355"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_193"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1011"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5248"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1560"	"Bacteria"	"#182A7B"
